Min Limit;Time;No. Clusters;No. Base Clusters;Precision;Recall;F-Measure;Precision 0;Precision 1;Precision 2;Precision 3;Precision 4;Precision 5;Recall 0;Recall 1;Recall 2;Recall 3;Recall 4;Recall 5;F-Measure 0;F-Measure 1;F-Measure 2;F-Measure 3;F-Measure 4;F-Measure 5
10;19.341402053833008;4629;5000;0.9411458333333449;0.7572916666666756;0.7824171209098473;0.5214949233095701;0.0064808813998703824;0.0038885288399222295;0.013177792179736443;0.016634262259667316;0.43832361201123354;0.7668161434977578;0.004484304932735426;0.008968609865470852;0.008968609865470852;0.0;0.21076233183856502;0.6207984022630597;0.005300821627352239;0.0054249547920434005;0.010673198897686016;0.0;0.2846529259883886
11;19.444146871566772;4629;5000;0.9411458333333449;0.7572916666666756;0.7824171209098473;0.5214949233095701;0.0064808813998703824;0.0038885288399222295;0.013177792179736443;0.016634262259667316;0.43832361201123354;0.7668161434977578;0.004484304932735426;0.008968609865470852;0.008968609865470852;0.0;0.21076233183856502;0.6207984022630597;0.005300821627352239;0.0054249547920434005;0.010673198897686016;0.0;0.2846529259883886
12;19.34949493408203;4629;5000;0.9411458333333449;0.7572916666666756;0.7824171209098473;0.5214949233095701;0.0064808813998703824;0.0038885288399222295;0.013177792179736443;0.016634262259667316;0.43832361201123354;0.7668161434977578;0.004484304932735426;0.008968609865470852;0.008968609865470852;0.0;0.21076233183856502;0.6207984022630597;0.005300821627352239;0.0054249547920434005;0.010673198897686016;0.0;0.2846529259883886
13;19.55142903327942;4629;5000;0.9411458333333449;0.7572916666666756;0.7824171209098473;0.5214949233095701;0.0064808813998703824;0.0038885288399222295;0.013177792179736443;0.016634262259667316;0.43832361201123354;0.7668161434977578;0.004484304932735426;0.008968609865470852;0.008968609865470852;0.0;0.21076233183856502;0.6207984022630597;0.005300821627352239;0.0054249547920434005;0.010673198897686016;0.0;0.2846529259883886
14;19.27547597885132;4629;5000;0.9411458333333449;0.7572916666666756;0.7824171209098473;0.5214949233095701;0.0064808813998703824;0.0038885288399222295;0.013177792179736443;0.016634262259667316;0.43832361201123354;0.7668161434977578;0.004484304932735426;0.008968609865470852;0.008968609865470852;0.0;0.21076233183856502;0.6207984022630597;0.005300821627352239;0.0054249547920434005;0.010673198897686016;0.0;0.2846529259883886
15;19.2256338596344;4629;5000;0.9411458333333449;0.7572916666666756;0.7824171209098473;0.5214949233095701;0.0064808813998703824;0.0038885288399222295;0.013177792179736443;0.016634262259667316;0.43832361201123354;0.7668161434977578;0.004484304932735426;0.008968609865470852;0.008968609865470852;0.0;0.21076233183856502;0.6207984022630597;0.005300821627352239;0.0054249547920434005;0.010673198897686016;0.0;0.2846529259883886
16;19.24956703186035;4629;5000;0.9411458333333449;0.7572916666666756;0.7824171209098473;0.5214949233095701;0.0064808813998703824;0.0038885288399222295;0.013177792179736443;0.016634262259667316;0.43832361201123354;0.7668161434977578;0.004484304932735426;0.008968609865470852;0.008968609865470852;0.0;0.21076233183856502;0.6207984022630597;0.005300821627352239;0.0054249547920434005;0.010673198897686016;0.0;0.2846529259883886
17;19.140457153320312;4629;5000;0.9411458333333449;0.7572916666666756;0.7824171209098473;0.5214949233095701;0.0064808813998703824;0.0038885288399222295;0.013177792179736443;0.016634262259667316;0.43832361201123354;0.7668161434977578;0.004484304932735426;0.008968609865470852;0.008968609865470852;0.0;0.21076233183856502;0.6207984022630597;0.005300821627352239;0.0054249547920434005;0.010673198897686016;0.0;0.2846529259883886
18;19.23670792579651;4629;5000;0.9411458333333449;0.7572916666666756;0.7824171209098473;0.5214949233095701;0.0064808813998703824;0.0038885288399222295;0.013177792179736443;0.016634262259667316;0.43832361201123354;0.7668161434977578;0.004484304932735426;0.008968609865470852;0.008968609865470852;0.0;0.21076233183856502;0.6207984022630597;0.005300821627352239;0.0054249547920434005;0.010673198897686016;0.0;0.2846529259883886
19;19.147088050842285;4629;5000;0.9411458333333449;0.7572916666666756;0.7824171209098473;0.5214949233095701;0.0064808813998703824;0.0038885288399222295;0.013177792179736443;0.016634262259667316;0.43832361201123354;0.7668161434977578;0.004484304932735426;0.008968609865470852;0.008968609865470852;0.0;0.21076233183856502;0.6207984022630597;0.005300821627352239;0.0054249547920434005;0.010673198897686016;0.0;0.2846529259883886
20;19.11610198020935;4629;5000;0.9411458333333449;0.7572916666666756;0.7824171209098473;0.5214949233095701;0.0064808813998703824;0.0038885288399222295;0.013177792179736443;0.016634262259667316;0.43832361201123354;0.7668161434977578;0.004484304932735426;0.008968609865470852;0.008968609865470852;0.0;0.21076233183856502;0.6207984022630597;0.005300821627352239;0.0054249547920434005;0.010673198897686016;0.0;0.2846529259883886
21;19.268331050872803;4629;5000;0.9411458333333449;0.7572916666666756;0.7824171209098473;0.5214949233095701;0.0064808813998703824;0.0038885288399222295;0.013177792179736443;0.016634262259667316;0.43832361201123354;0.7668161434977578;0.004484304932735426;0.008968609865470852;0.008968609865470852;0.0;0.21076233183856502;0.6207984022630597;0.005300821627352239;0.0054249547920434005;0.010673198897686016;0.0;0.2846529259883886
22;19.455901861190796;4629;5000;0.9411458333333449;0.7572916666666756;0.7824171209098473;0.5214949233095701;0.0064808813998703824;0.0038885288399222295;0.013177792179736443;0.016634262259667316;0.43832361201123354;0.7668161434977578;0.004484304932735426;0.008968609865470852;0.008968609865470852;0.0;0.21076233183856502;0.6207984022630597;0.005300821627352239;0.0054249547920434005;0.010673198897686016;0.0;0.2846529259883886
23;19.64656400680542;4629;5000;0.9411458333333449;0.7572916666666756;0.7824171209098473;0.5214949233095701;0.0064808813998703824;0.0038885288399222295;0.013177792179736443;0.016634262259667316;0.43832361201123354;0.7668161434977578;0.004484304932735426;0.008968609865470852;0.008968609865470852;0.0;0.21076233183856502;0.6207984022630597;0.005300821627352239;0.0054249547920434005;0.010673198897686016;0.0;0.2846529259883886
24;19.63925004005432;4629;5000;0.9411458333333449;0.7572916666666756;0.7824171209098473;0.5214949233095701;0.0064808813998703824;0.0038885288399222295;0.013177792179736443;0.016634262259667316;0.43832361201123354;0.7668161434977578;0.004484304932735426;0.008968609865470852;0.008968609865470852;0.0;0.21076233183856502;0.6207984022630597;0.005300821627352239;0.0054249547920434005;0.010673198897686016;0.0;0.2846529259883886
25;19.5863299369812;4629;5000;0.9411458333333449;0.7572916666666756;0.7824171209098473;0.5214949233095701;0.0064808813998703824;0.0038885288399222295;0.013177792179736443;0.016634262259667316;0.43832361201123354;0.7668161434977578;0.004484304932735426;0.008968609865470852;0.008968609865470852;0.0;0.21076233183856502;0.6207984022630597;0.005300821627352239;0.0054249547920434005;0.010673198897686016;0.0;0.2846529259883886
26;19.80984592437744;4629;5000;0.9411458333333449;0.7572916666666756;0.7824171209098473;0.5214949233095701;0.0064808813998703824;0.0038885288399222295;0.013177792179736443;0.016634262259667316;0.43832361201123354;0.7668161434977578;0.004484304932735426;0.008968609865470852;0.008968609865470852;0.0;0.21076233183856502;0.6207984022630597;0.005300821627352239;0.0054249547920434005;0.010673198897686016;0.0;0.2846529259883886
27;19.774054050445557;4629;5000;0.9411458333333449;0.7572916666666756;0.7824171209098473;0.5214949233095701;0.0064808813998703824;0.0038885288399222295;0.013177792179736443;0.016634262259667316;0.43832361201123354;0.7668161434977578;0.004484304932735426;0.008968609865470852;0.008968609865470852;0.0;0.21076233183856502;0.6207984022630597;0.005300821627352239;0.0054249547920434005;0.010673198897686016;0.0;0.2846529259883886
28;19.842694997787476;4629;5000;0.9411458333333449;0.7572916666666756;0.7824171209098473;0.5214949233095701;0.0064808813998703824;0.0038885288399222295;0.013177792179736443;0.016634262259667316;0.43832361201123354;0.7668161434977578;0.004484304932735426;0.008968609865470852;0.008968609865470852;0.0;0.21076233183856502;0.6207984022630597;0.005300821627352239;0.0054249547920434005;0.010673198897686016;0.0;0.2846529259883886
29;20.041467905044556;4629;5000;0.9411458333333449;0.7572916666666756;0.7824171209098473;0.5214949233095701;0.0064808813998703824;0.0038885288399222295;0.013177792179736443;0.016634262259667316;0.43832361201123354;0.7668161434977578;0.004484304932735426;0.008968609865470852;0.008968609865470852;0.0;0.21076233183856502;0.6207984022630597;0.005300821627352239;0.0054249547920434005;0.010673198897686016;0.0;0.2846529259883886
