n-slice;Time;No. Clusters;No. Base Clusters;Precision;Recall;F-Measure;Precision 0;Precision 1;Precision 2;Precision 3;Precision 4;Precision 5;Recall 0;Recall 1;Recall 2;Recall 3;Recall 4;Recall 5;F-Measure 0;F-Measure 1;F-Measure 2;F-Measure 3;F-Measure 4;F-Measure 5
21;18.4462308883667;2516;5000;0.8356931555801972;0.7458333333333408;0.7107381692959643;0.6291732909379968;0.014705882352941176;0.008346581875993641;0.011128775834658187;0.01629570747217806;0.3203497615262321;0.6188340807174888;0.02092675635276532;0.014947683109118086;0.01046337817638266;0.028400597907324365;0.3064275037369208;0.6239608578483528;0.01727328809376928;0.01071182636639547;0.010785824345146378;0.02070899738146824;0.31323400891379477
22;18.44358515739441;2516;5000;0.8356931555801972;0.7458333333333408;0.7107381692959643;0.6291732909379968;0.014705882352941176;0.008346581875993641;0.011128775834658187;0.01629570747217806;0.3203497615262321;0.6188340807174888;0.02092675635276532;0.014947683109118086;0.01046337817638266;0.028400597907324365;0.3064275037369208;0.6239608578483528;0.01727328809376928;0.01071182636639547;0.010785824345146378;0.02070899738146824;0.31323400891379477
23;18.69217801094055;2516;5000;0.8356931555801972;0.7458333333333408;0.7107381692959643;0.6291732909379968;0.014705882352941176;0.008346581875993641;0.011128775834658187;0.01629570747217806;0.3203497615262321;0.6188340807174888;0.02092675635276532;0.014947683109118086;0.01046337817638266;0.028400597907324365;0.3064275037369208;0.6239608578483528;0.01727328809376928;0.01071182636639547;0.010785824345146378;0.02070899738146824;0.31323400891379477
24;22.003138065338135;2516;5000;0.8356931555801972;0.7458333333333408;0.7107381692959643;0.6291732909379968;0.014705882352941176;0.008346581875993641;0.011128775834658187;0.01629570747217806;0.3203497615262321;0.6188340807174888;0.02092675635276532;0.014947683109118086;0.01046337817638266;0.028400597907324365;0.3064275037369208;0.6239608578483528;0.01727328809376928;0.01071182636639547;0.010785824345146378;0.02070899738146824;0.31323400891379477
25;19.80531907081604;2516;5000;0.8356931555801972;0.7458333333333408;0.7107381692959643;0.6291732909379968;0.014705882352941176;0.008346581875993641;0.011128775834658187;0.01629570747217806;0.3203497615262321;0.6188340807174888;0.02092675635276532;0.014947683109118086;0.01046337817638266;0.028400597907324365;0.3064275037369208;0.6239608578483528;0.01727328809376928;0.01071182636639547;0.010785824345146378;0.02070899738146824;0.31323400891379477
26;22.249486923217773;2516;5000;0.8356931555801972;0.7458333333333408;0.7107381692959643;0.6291732909379968;0.014705882352941176;0.008346581875993641;0.011128775834658187;0.01629570747217806;0.3203497615262321;0.6188340807174888;0.02092675635276532;0.014947683109118086;0.01046337817638266;0.028400597907324365;0.3064275037369208;0.6239608578483528;0.01727328809376928;0.01071182636639547;0.010785824345146378;0.02070899738146824;0.31323400891379477
27;21.407490015029907;2516;5000;0.8356931555801972;0.7458333333333408;0.7107381692959643;0.6291732909379968;0.014705882352941176;0.008346581875993641;0.011128775834658187;0.01629570747217806;0.3203497615262321;0.6188340807174888;0.02092675635276532;0.014947683109118086;0.01046337817638266;0.028400597907324365;0.3064275037369208;0.6239608578483528;0.01727328809376928;0.01071182636639547;0.010785824345146378;0.02070899738146824;0.31323400891379477
28;22.65174102783203;2516;5000;0.8356931555801972;0.7458333333333408;0.7107381692959643;0.6291732909379968;0.014705882352941176;0.008346581875993641;0.011128775834658187;0.01629570747217806;0.3203497615262321;0.6188340807174888;0.02092675635276532;0.014947683109118086;0.01046337817638266;0.028400597907324365;0.3064275037369208;0.6239608578483528;0.01727328809376928;0.01071182636639547;0.010785824345146378;0.02070899738146824;0.31323400891379477
29;19.99855399131775;2516;5000;0.8356931555801972;0.7458333333333408;0.7107381692959643;0.6291732909379968;0.014705882352941176;0.008346581875993641;0.011128775834658187;0.01629570747217806;0.3203497615262321;0.6188340807174888;0.02092675635276532;0.014947683109118086;0.01046337817638266;0.028400597907324365;0.3064275037369208;0.6239608578483528;0.01727328809376928;0.01071182636639547;0.010785824345146378;0.02070899738146824;0.31323400891379477
30;20.16391897201538;2516;5000;0.8356931555801972;0.7458333333333408;0.7107381692959643;0.6291732909379968;0.014705882352941176;0.008346581875993641;0.011128775834658187;0.01629570747217806;0.3203497615262321;0.6188340807174888;0.02092675635276532;0.014947683109118086;0.01046337817638266;0.028400597907324365;0.3064275037369208;0.6239608578483528;0.01727328809376928;0.01071182636639547;0.010785824345146378;0.02070899738146824;0.31323400891379477
