Basecluster-amount;Time;No. Clusters;No. Base Clusters;Precision;Recall;F-Measure;Ground Truth 0;Ground Truth 1;Ground Truth 2;Ground Truth 3;Ground Truth 4;Ground Truth 5;Ground Truth Rep 0;Ground Truth Rep 1;Ground Truth Rep 2;Ground Truth Rep 3;Ground Truth Rep 4;Ground Truth Rep 5;fMeasure 0;fMeasure 1;fMeasure 2;fMeasure 3;fMeasure 4;fMeasure 5
700;1.2809698581695557;417;700;0.5241581061187914;0.3854166666666657;0.3756033491970986;0.45083932853717024;0.011990407673860911;0.011990407673860911;0.047961630695443645;0.050359712230215826;0.42685851318944845;0.28101644245142005;0.004484304932735426;0.008968609865470852;0.02242152466367713;0.02092675635276532;0.6621823617339312;0.3462246777163904;0.006527415143603133;0.01026167265264238;0.030557677616501144;0.02956705385427666;0.51909562790269
800;1.4544258117675781;463;800;0.5811893561187917;0.42083333333333234;0.4147089889277382;0.46436285097192226;0.01079913606911447;0.01079913606911447;0.04319654427645788;0.05399568034557235;0.4168466522678186;0.3213751868460389;0.0029895366218236174;0.008968609865470852;0.02092675635276532;0.02242152466367713;0.6233183856502242;0.3798586572438163;0.004682744088035589;0.009799118079372856;0.028194542342160914;0.031685678073510776;0.49959030131476023
900;1.701470136642456;515;900;0.6242969950076814;0.44895833333333224;0.4486326000388492;0.4679611650485437;0.009708737864077669;0.009708737864077669;0.038834951456310676;0.06019417475728155;0.41359223300970877;0.3602391629297459;0.0029895366218236174;0.007473841554559043;0.017937219730941704;0.02092675635276532;0.5904334828101644;0.40709459459459457;0.004571428571428572;0.008445945945945945;0.024539877300613498;0.03105656731904541;0.4864391394591845
1000;1.6976640224456787;553;1000;0.6572831061187938;0.47916666666666546;0.4798305167055158;0.46835443037974683;0.009041591320072333;0.0108499095840868;0.039783001808318265;0.059674502712477394;0.41229656419529837;0.38714499252615847;0.0029895366218236174;0.008968609865470852;0.01943198804185351;0.02092675635276532;0.5605381165919282;0.4238952536824877;0.004493372275893057;0.009819967266775777;0.02611037567900671;0.030986954626245015;0.47512274004117727
5500;25.640639066696167;1213;5500;0.9610677083333445;0.8156250000000095;0.7954171842058251;0.42868920032976093;0.01731244847485573;0.015663643858202802;0.03957131079967024;0.0717230008244023;0.427040395713108;0.7772795216741405;0.008968609865470852;0.008968609865470852;0.007473841554559043;0.016442451420029897;0.18086696562032886;0.5526036131774708;0.011816007877338584;0.011406273450397717;0.012573015166199545;0.026752019679646664;0.2541094432563373
6000;28.993730068206787;1239;6000;0.9688802083333449;0.8239583333333431;0.8024657953169365;0.4261501210653753;0.01937046004842615;0.01775625504439064;0.04035512510088781;0.07263922518159806;0.423728813559322;0.7892376681614349;0.007473841554559043;0.008968609865470852;0.005979073243647235;0.016442451420029897;0.17189835575485798;0.5534591194968553;0.010786032088445464;0.011917659804983749;0.010415039316773421;0.026815097712590906;0.244576775840068
6500;31.62964105606079;1254;6500;0.9735416666666785;0.8322916666666768;0.8083934498383414;0.42503987240829344;0.018341307814992026;0.018341307814992026;0.04226475279106858;0.0733652312599681;0.4226475279106858;0.796711509715994;0.007473841554559043;0.007473841554559043;0.005979073243647235;0.017937219730941704;0.16442451420029897;0.5543421736869474;0.010620122824029181;0.010620122824029181;0.010476119882390729;0.028826570578098076;0.23674646200077157
7000;40.203469038009644;1264;7000;0.9766666666666787;0.8406250000000101;0.8163608872243835;0.42325949367088606;0.01819620253164557;0.01819620253164557;0.043512658227848104;0.07357594936708861;0.42325949367088606;0.7997010463378177;0.008968609865470852;0.007473841554559043;0.004484304932735426;0.017937219730941704;0.16143497757847533;0.553543714433523;0.012015149536371948;0.010595660386050582;0.008130682238155074;0.028842798992052724;0.23372509996420096
7500;52.525062084198;1282;7500;0.9824404761904885;0.8500000000000103;0.8236194099516565;0.42277691107644305;0.0187207488299532;0.0171606864274571;0.042901716068642744;0.07332293291731669;0.4251170046801872;0.8101644245142003;0.008968609865470852;0.007473841554559043;0.0029895366218236174;0.017937219730941704;0.15246636771300448;0.5556125064069708;0.01212733703890854;0.010412722453616055;0.005589572905815697;0.02882330394787275;0.22443875171841599
8000;56.04662084579468;1311;8000;0.9833333333333456;0.8583333333333437;0.8300229454820302;0.41189931350114417;0.019832189168573607;0.017543859649122806;0.043478260869565216;0.07780320366132723;0.429443173150267;0.8071748878923767;0.01046337817638266;0.007473841554559043;0.004484304932735426;0.02242152466367713;0.14798206278026907;0.5454545454545454;0.01369914568514546;0.010482180293501047;0.008130081300813007;0.0348110985973175;0.22011468379025187
