Basecluster-amount;Time;No. Clusters;No. Base Clusters;Precision;Recall;F-Measure;Precision 0;Precision 1;Precision 2;Precision 3;Precision 4;Precision 5;Recall 0;Recall 1;Recall 2;Recall 3;Recall 4;Recall 5;F-Measure 0;F-Measure 1;F-Measure 2;F-Measure 3;F-Measure 4;F-Measure 5
1250;1.9791779518127441;1149;1250;0.7265618235930784;0.5364583333333334;0.5511745277283208;0.5030461270670148;0.008703220191470844;0.006962576153176675;0.028720626631853787;0.03655352480417755;0.41601392515230634;0.45739910313901344;0.005979073243647235;0.01195814648729447;0.02092675635276532;0.02092675635276532;0.4828101644245142;0.4791378833932025;0.007088428141059719;0.0088008800880088;0.024211933024133322;0.026615969581749048;0.4469300588065867
1500;2.5865259170532227;1378;1500;0.7732632124819687;0.5760416666666685;0.5943939240727184;0.5239477503628447;0.00725689404934688;0.006531204644412192;0.02467343976777939;0.03555878084179971;0.4020319303338171;0.5082212257100149;0.005979073243647235;0.01195814648729447;0.017937219730941704;0.01943198804185351;0.43647234678624813;0.5159646803385677;0.006556302245533519;0.008448225286007627;0.020772873071635865;0.02513068349935891;0.4185448420573298
1750;3.1755878925323486;1602;1750;0.8178192640692712;0.6208333333333367;0.6410811084161544;0.5280898876404494;0.00686641697877653;0.0056179775280898875;0.023096129837702872;0.033083645443196;0.40324594257178525;0.5710014947683109;0.005979073243647235;0.01046337817638266;0.014947683109118086;0.017937219730941704;0.3796711509715994;0.5487079965159457;0.006392097043655118;0.00731070496083551;0.018149265445270152;0.023262193449278542;0.3911036108509061
2000;3.7536280155181885;1815;2000;0.8457359307359389;0.6500000000000047;0.6713539258764727;0.5344352617079889;0.006611570247933884;0.0049586776859504135;0.023691460055096418;0.031955922865013774;0.39834710743801655;0.6098654708520179;0.004484304932735426;0.01046337817638266;0.014947683109118086;0.014947683109118086;0.3452914798206278;0.5696642556407211;0.005344021376085504;0.0067286126241589235;0.01833024276914551;0.02036802921758674;0.3699266406187704
2250;5.559433937072754;2020;2250;0.8608400974026059;0.6677083333333387;0.6896752399790376;0.5376237623762377;0.005940594059405941;0.004455445544554455;0.02128712871287129;0.0297029702970297;0.400990099009901;0.6307922272047832;0.004484304932735426;0.01046337817638266;0.013452914798206279;0.014947683109118086;0.32585949177877427;0.580493409011168;0.005110732538330494;0.006249689995535935;0.016486676464949838;0.019887305270135897;0.35954186815983713
2500;9.093568801879883;2230;2500;0.8746421807359399;0.6854166666666728;0.7078379262934015;0.5269058295964125;0.0053811659192825115;0.004484304932735426;0.02062780269058296;0.028251121076233184;0.41434977578475335;0.6547085201793722;0.004484304932735426;0.01046337817638266;0.013452914798206279;0.01195814648729447;0.30493273542600896;0.5838956441827418;0.004891969017529556;0.006278026905829597;0.016285107387302336;0.01680364078883758;0.351319011887322
2750;7.161736965179443;2447;2750;0.8819338474026067;0.6958333333333397;0.7172823707378462;0.5239068246832856;0.006129955046996322;0.004086636697997548;0.01879852881078872;0.02656313853698406;0.4205149162239477;0.6681614349775785;0.004484304932735426;0.01046337817638266;0.013452914798206279;0.01195814648729447;0.2914798206278027;0.5873058575932875;0.0051795580110497235;0.005877660691044964;0.015682709244843458;0.0164919680943848;0.34430482701108306
3000;7.490760087966919;2665;3000;0.8949546807359405;0.7166666666666739;0.73186570407118;0.523827392120075;0.00600375234521576;0.004878048780487805;0.01801125703564728;0.02626641651031895;0.4210131332082552;0.6890881913303438;0.004484304932735426;0.01195814648729447;0.013452914798206279;0.01195814648729447;0.26905829596412556;0.5951993281815537;0.005133964383122092;0.00692940666955392;0.01540189314936628;0.016434336023477623;0.3283053649544264
3250;9.532680034637451;2873;3250;0.9065246212121315;0.7281250000000077;0.7449386207378473;0.530804037591368;0.005917159763313609;0.005221023320570832;0.017055342847198052;0.025060911938739994;0.4159415245388096;0.7055306427503737;0.005979073243647235;0.01195814648729447;0.01195814648729447;0.01195814648729447;0.2526158445440957;0.6058206079163198;0.005947955390334573;0.007268542354402011;0.014058997579126695;0.016190690353047;0.3143288051598765
3500;9.969825983047485;3081;3500;0.9143371212121316;0.7343750000000079;0.7525576683568952;0.5361895488477767;0.006166828951639078;0.004868549172346641;0.016553067185978577;0.024342745861733205;0.4118792599805258;0.71898355754858;0.005979073243647235;0.01046337817638266;0.008968609865470852;0.01046337817638266;0.24514200298953662;0.6142761781404936;0.006071499900139804;0.006645149041199925;0.011633875106929;0.014635778205235426;0.30735354385653996
