Article Text Amount;Time;No. Clusters;No. Base Clusters;Precision;Recall;F-Measure;Ground Truth 0;Ground Truth 1;Ground Truth 2;Ground Truth 3;Ground Truth 4;Ground Truth 5;Ground Truth Rep 0;Ground Truth Rep 1;Ground Truth Rep 2;Ground Truth Rep 3;Ground Truth Rep 4;Ground Truth Rep 5;fMeasure 0;fMeasure 1;fMeasure 2;fMeasure 3;fMeasure 4;fMeasure 5
0.5;32.921284914016724;4776;5000;0.8750921792328131;0.7375000000000078;0.7240382775585039;0.42839195979899497;0.012981574539363484;0.010050251256281407;0.03412897822445561;0.07977386934673367;0.43467336683417085;0.6397608370702541;0.01046337817638266;0.005979073243647235;0.025411061285500747;0.02391629297458894;0.2944693572496263;0.5131632845009906;0.011587238018956081;0.007497656982193065;0.029131776344492977;0.03679992755919772;0.3510917210509779
0.55;34.317310094833374;4807;5000;0.8705121527777862;0.7364583333333411;0.722809471642198;0.41564385271479093;0.01268982733513626;0.011233617640940295;0.03723736218015394;0.08466819221967964;0.4385271479092989;0.6322869955156951;0.008968609865470852;0.008968609865470852;0.02391629297458894;0.03288490284005979;0.2929745889387145;0.5015716509946668;0.010509540422965931;0.009974141115626155;0.029125966755312385;0.04737102452934501;0.35127000914801065
0.6000000000000001;36.88982105255127;4827;5000;0.8731419042397749;0.7750000000000087;0.7236628976161948;0.4050134659208618;0.012844416822042676;0.010565568676196395;0.036047234307022995;0.08493888543608867;0.45059042883778744;0.6322869955156951;0.008968609865470852;0.008968609865470852;0.02391629297458894;0.0343796711509716;0.2914798206278027;0.4937523061656571;0.010562180579216355;0.009701811956056499;0.02875468658011341;0.04894747359924839;0.3539773154059941
0.65;34.540452003479004;4839;5000;0.8822038211423616;0.7895833333333426;0.737270567599185;0.39698284769580494;0.0121926017772267;0.010746021905352345;0.037197768133911964;0.08700144657987187;0.4558793139078322;0.6472346786248132;0.008968609865470852;0.005979073243647235;0.028400597907324365;0.029895366218236172;0.2795216741405082;0.49212172630986073;0.010335012042916576;0.007683215130023641;0.03220930396824276;0.044499760853422964;0.3465541958754269
0.7000000000000001;37.59737706184387;4860;5000;0.8822479256854352;0.8000000000000098;0.7340058587537641;0.3979423868312757;0.011728395061728396;0.01131687242798354;0.03827160493827161;0.0808641975308642;0.45987654320987653;0.648729446935725;0.008968609865470852;0.004484304932735426;0.026905829596412557;0.028400597907324365;0.2825112107623318;0.49329108932304383;0.010164504480406582;0.006423357664233577;0.031597723604858574;0.04203717308877798;0.3500065251030034
0.75;36.01320290565491;4860;5000;0.8964594971274258;0.8208333333333439;0.7488336112620961;0.4012345679012346;0.011522633744855968;0.01131687242798354;0.03806584362139918;0.08765432098765433;0.45020576131687245;0.6696562032884903;0.01046337817638266;0.005979073243647235;0.026905829596412557;0.026905829596412557;0.2600896860986547;0.5018050852568908;0.010967489228358796;0.007824308704543434;0.0315273734289569;0.04117334364277775;0.3297047040545385
0.8;36.86356806755066;4858;5000;0.9098314373442318;0.8458333333333445;0.7664174928360432;0.4065459036640593;0.011527377521613832;0.01070399341292713;0.041375051461506794;0.08583779333058872;0.44400988060930424;0.6875934230194319;0.014947683109118086;0.008968609865470852;0.026905829596412557;0.029895366218236172;0.23168908819133036;0.5109738452820691;0.013016596160104131;0.009759759759759758;0.03260737315975179;0.04434601590394887;0.3044913464021096
0.8500000000000001;35.73239302635193;4863;5000;0.9201656659933666;0.8552083333333449;0.7769561535159203;0.4096236890808143;0.012338062924120914;0.01089862224964014;0.04133251079580506;0.08657207485091507;0.4392350400987045;0.70254110612855;0.014947683109118086;0.005979073243647235;0.03736920777279522;0.028400597907324365;0.21076233183856502;0.5175087017012053;0.013518080432578574;0.007721867089183923;0.039251066222992924;0.04277014057094582;0.2848448479122245
0.9;37.81780219078064;4878;5000;0.9222174367877599;0.8125000000000111;0.7832883239829213;0.4009840098400984;0.012300123001230012;0.011480114801148012;0.037515375153751536;0.08548585485854858;0.45223452234522343;0.7055306427503737;0.013452914798206279;0.005979073243647235;0.04185351270553064;0.03139013452914798;0.20179372197309417;0.5113470581393417;0.01285071749839366;0.007862959842740803;0.03956588716309346;0.04591896930083297;0.2790646681134812
0.9500000000000001;38.40966081619263;4878;5000;0.9250487075617392;0.8250000000000114;0.7862656383301647;0.3987289872898729;0.012300123001230012;0.011685116851168511;0.037515375153751536;0.08466584665846659;0.45510455104551045;0.7070254110612855;0.013452914798206279;0.005979073243647235;0.04035874439461883;0.03288490284005979;0.20029895366218237;0.5098989912426191;0.01285071749839366;0.00791048659901119;0.03888515068881255;0.047370657407335;0.2781705154963082
1.0;39.624369859695435;4874;5000;0.9380811838624453;0.8458333333333451;0.8044895776422291;0.3998768978251949;0.013336068937217891;0.010258514567090685;0.03672548215018465;0.0867870332375872;0.4530160032827247;0.7309417040358744;0.01195814648729447;0.005979073243647235;0.03139013452914798;0.043348281016442454;0.17638266068759342;0.5169471047255325;0.0126095760030069;0.007554867223208553;0.03384885527115553;0.05781779875710821;0.25390637942896793
