Avg CF limit;Time;No. Clusters;No. Base Clusters;Precision;Recall;F-Measure;Precision 0;Precision 1;Precision 2;Precision 3;Precision 4;Precision 5;Recall 0;Recall 1;Recall 2;Recall 3;Recall 4;Recall 5;F-Measure 0;F-Measure 1;F-Measure 2;F-Measure 3;F-Measure 4;F-Measure 5
14;22.11906099319458;4294;5000;0.954513888888901;0.7864583333333434;0.8027218298271022;0.5381928272007452;0.009315323707498836;0.00535631113181183;0.01350721937587331;0.02095947834187238;0.4126688402421984;0.7862481315396114;0.007473841554559043;0.008968609865470852;0.01046337817638266;0.007473841554559043;0.17937219730941703;0.6389912694893662;0.008293593199253577;0.006707005905081286;0.011792041823990705;0.011018609206660137;0.25005468182235113
15;23.585952043533325;4288;5000;0.954513888888901;0.7864583333333434;0.8027218298271022;0.5380130597014925;0.009328358208955223;0.005363805970149254;0.013526119402985074;0.020988805970149255;0.41277985074626866;0.7862481315396114;0.007473841554559043;0.008968609865470852;0.01046337817638266;0.007473841554559043;0.17937219730941703;0.6388645468614228;0.008298755186721992;0.006712878511492156;0.01179923857130402;0.011022657685241886;0.25007505783868744
16;21.68514609336853;4281;5000;0.954513888888901;0.7864583333333434;0.8027218298271022;0.5379584209296894;0.00934361130576968;0.005372576500817566;0.013548236393366036;0.02102312543798178;0.4127540294323756;0.7862481315396114;0.007473841554559043;0.008968609865470852;0.01046337817638266;0.007473841554559043;0.17937219730941703;0.6388260238000503;0.008304785632720855;0.0067197428967935135;0.011807645886954878;0.011027384671935305;0.2500703190094838
17;23.800757884979248;4270;5000;0.954513888888901;0.7864583333333434;0.8027218298271022;0.5372365339578454;0.00936768149882904;0.005386416861826698;0.013583138173302109;0.02107728337236534;0.4133489461358314;0.7862481315396114;0.007473841554559043;0.008968609865470852;0.01046337817638266;0.007473841554559043;0.17937219730941703;0.638316758827584;0.008314279775514445;0.006730558197380936;0.011820881616491002;0.011034820990681706;0.2501793956360351
18;22.473521947860718;4254;5000;0.954513888888901;0.7864583333333434;0.8027218298271022;0.53737658674189;0.009402914903620122;0.0054066760695815706;0.013634226610249177;0.021156558533145273;0.4130230371415139;0.7862481315396114;0.007473841554559043;0.008968609865470852;0.01046337817638266;0.007473841554559043;0.17937219730941703;0.6384156043980549;0.008328128253175098;0.006746351836914278;0.01184018664333625;0.011045655375552282;0.25011966809675235
19;20.524842023849487;4244;5000;0.954513888888901;0.7864583333333434;0.8027218298271022;0.5365221489161168;0.00942507068803016;0.005419415645617342;0.013666352497643733;0.02120640904806786;0.413760603204524;0.7862481315396114;0.007473841554559043;0.008968609865470852;0.01046337817638266;0.007473841554559043;0.17937219730941703;0.637812238977095;0.008336807002917883;0.006756260556657119;0.01185228433805284;0.01105243767653199;0.25025474393780683
20;23.864066123962402;4224;5000;0.954513888888901;0.7864583333333434;0.8027218298271022;0.5355113636363636;0.00946969696969697;0.005445075757575758;0.013731060606060606;0.02130681818181818;0.41453598484848486;0.7862481315396114;0.007473841554559043;0.008968609865470852;0.01046337817638266;0.007473841554559043;0.17937219730941703;0.6370974607922354;0.008354218880534668;0.006776165574132725;0.01187655404417142;0.011066027296200664;0.2503963834811318
21;19.776997089385986;4208;5000;0.954513888888901;0.7864583333333434;0.8027218298271022;0.5349334600760456;0.009505703422053232;0.005465779467680608;0.013783269961977186;0.02138783269961977;0.4149239543726236;0.7862481315396114;0.007473841554559043;0.008968609865470852;0.01046337817638266;0.007473841554559043;0.17937219730941703;0.6366883040937243;0.008368200836820083;0.006792174234034699;0.011896041489642241;0.011076923076923078;0.2504671154322028
22;24.32297420501709;4191;5000;0.954513888888901;0.7864583333333434;0.8027218298271022;0.5347172512526843;0.00954426151276545;0.0054879503698401335;0.013839179193509903;0.021474588403722263;0.4149367692674779;0.7862481315396114;0.007473841554559043;0.008968609865470852;0.01046337817638266;0.007473841554559043;0.17937219730941703;0.6365351358575692;0.008383108037304831;0.006809266523573384;0.01191681709446866;0.011088523378303456;0.2504694501806685
23;21.255856037139893;4174;5000;0.954513888888901;0.7864583333333434;0.8027218298271022;0.5342597029228557;0.009583133684714902;0.005510301868711069;0.013655965500718735;0.02156205079060853;0.415428845232391;0.7862481315396114;0.007473841554559043;0.008968609865470852;0.01046337817638266;0.007473841554559043;0.17937219730941703;0.6362108307384564;0.008398068444257821;0.00682644505453736;0.011848376416088848;0.01110014800197336;0.2505590255074579
24;21.511560201644897;4159;5000;0.954513888888901;0.7864583333333434;0.8027218298271022;0.5333012743447945;0.009617696561673479;0.005530175522962251;0.013705217600384708;0.021639817263765328;0.4162058187064198;0.7862481315396114;0.007473841554559043;0.008968609865470852;0.01046337817638266;0.007473841554559043;0.17937219730941703;0.6355307783572601;0.008411313216275891;0.00684167472298654;0.011866876840258157;0.011110425282389974;0.25070016094197217
25;20.57098698616028;4147;5000;0.954513888888901;0.7864583333333434;0.8027218298271022;0.5329153605015674;0.009645526886906198;0.005546177959971064;0.013744875813841331;0.021702435495538942;0.41644562334217505;0.7862481315396114;0.007473841554559043;0.008968609865470852;0.01046337817638266;0.007473841554559043;0.17937219730941703;0.6352566743865532;0.00842193915148963;0.006853907472249125;0.011881718829099788;0.01111866081907468;0.2507436465632549
27;20.862509965896606;4124;5000;0.954513888888901;0.7864583333333434;0.8027218298271022;0.532007759456838;0.009699321047526674;0.005577109602327837;0.013821532492725509;0.021823472356935016;0.41707080504364696;0.7862481315396114;0.007473841554559043;0.008968609865470852;0.01046337817638266;0.007473841554559043;0.17937219730941703;0.6346113978240369;0.008442380751371886;0.006877476265231367;0.011910269995970208;0.011134479772361747;0.25085685116312983
29;20.814260005950928;4102;5000;0.954513888888901;0.7864583333333434;0.8027218298271022;0.5321794246708923;0.009507557289127255;0.00560702096538274;0.013895660653339834;0.021940516821062895;0.41686981960019504;0.7862481315396114;0.007473841554559043;0.008968609865470852;0.01046337817638266;0.007473841554559043;0.17937219730941703;0.6347335146634444;0.008368919121907256;0.006900172504312607;0.011937708498511527;0.011149653121902874;0.25082048367283327
31;22.127619981765747;4081;5000;0.954513888888901;0.7864583333333434;0.8027218298271022;0.5322224944866454;0.009556481254594462;0.0056358735604018625;0.013967164910561138;0.022053418279833373;0.4165645675079637;0.7862481315396114;0.007473841554559043;0.008968609865470852;0.01046337817638266;0.007473841554559043;0.17937219730941703;0.6347641480867434;0.008387818306951135;0.0069219772778571975;0.011964017991004498;0.011164175401600198;0.2507652026404101
