Basecluster-amount;Time;No. Clusters;No. Base Clusters;Precision;Recall;F-Measure;Precision 0;Ground Truth 1;Ground Truth 2;Ground Truth 3;Ground Truth 4;Ground Truth 5;Ground Truth Rep 0;Ground Truth Rep 1;Ground Truth Rep 2;Ground Truth Rep 3;Ground Truth Rep 4;Ground Truth Rep 5;fMeasure 0;fMeasure 1;fMeasure 2;fMeasure 3;fMeasure 4;fMeasure 5
700;1.9943170547485352;256;700;0.37986531421227815;0.2999999999999994;0.26904628397877245;0.34765625;0.02734375;0.01171875;0.0234375;0.03125;0.55859375;0.13303437967115098;0.007473841554559043;0.005979073243647235;0.0029895366218236174;0.01943198804185351;0.8310911808669657;0.19243243243243244;0.011739057521381852;0.00791817881887166;0.005302695536897923;0.023963133640552994;0.6681260320248065
800;2.1663851737976074;283;800;0.3920327151481601;0.30416666666666603;0.27704169568512166;0.33568904593639576;0.024734982332155476;0.01060070671378092;0.02120141342756184;0.028268551236749116;0.5795053003533569;0.14200298953662183;0.005979073243647235;0.005979073243647235;0.0029895366218236174;0.01943198804185351;0.8236173393124065;0.1995798319327731;0.009630266552020636;0.007645747053201658;0.005240174672489083;0.02303177942642011;0.6803262952241492
900;2.2302870750427246;301;900;0.4026808632963082;0.310416666666666;0.2857222512406772;0.34219269102990035;0.023255813953488372;0.009966777408637873;0.019933554817275746;0.026578073089700997;0.5780730897009967;0.15396113602391628;0.004484304932735426;0.004484304932735426;0.0029895366218236174;0.01943198804185351;0.8146487294469357;0.21237113402061855;0.0075187969924812035;0.006185567010309279;0.005199306759098787;0.022450080949811116;0.6762678685403154
1000;2.4190731048583984;320;1000;0.41144949473262254;0.3156249999999993;0.29343785201587097;0.34375;0.021875;0.009375;0.01875;0.025;0.58125;0.16442451420029897;0.004484304932735426;0.0029895366218236174;0.0029895366218236174;0.017937219730941704;0.8071748878923767;0.22244691607684533;0.007442849548112707;0.004533434076312807;0.005156854318865492;0.020887728459530023;0.6758311633258646
1250;2.840440034866333;347;1250;0.43544029193226114;0.32604166666666595;0.3085370583650772;0.345821325648415;0.020172910662824207;0.008645533141210375;0.01729106628242075;0.023054755043227664;0.5850144092219021;0.17937219730941703;0.004484304932735426;0.0029895366218236174;0.0029895366218236174;0.017937219730941704;0.7922272047832586;0.23622047244094488;0.007337526205450734;0.004442798963346909;0.005097706032285472;0.0201765447667087;0.6730327133058299
1500;3.4085919857025146;359;1500;0.44139129501868085;0.3302083333333326;0.3142959869365058;0.35097493036211697;0.019498607242339833;0.008356545961002786;0.016713091922005572;0.022284122562674095;0.5821727019498607;0.18834080717488788;0.004484304932735426;0.0029895366218236174;0.0029895366218236174;0.017937219730941704;0.7832585949177877;0.24513618677042803;0.007291666666666668;0.004403669724770642;0.00507185122569738;0.01987577639751553;0.6679087751610828
1750;4.149737119674683;394;1750;0.4647419894631253;0.34999999999999915;0.3345577390732578;0.3477157360406091;0.025380710659898477;0.01015228426395939;0.030456852791878174;0.025380710659898477;0.5609137055837563;0.20478325859491778;0.004484304932735426;0.004484304932735426;0.008968609865470852;0.016442451420029897;0.7608370702541106;0.25776105362182505;0.007621951219512195;0.006220839813374806;0.013856812933025403;0.01995645863570392;0.6457555361012643
2000;5.069650888442993;450;2000;0.5055248391318997;0.3854166666666657;0.37409660059487787;0.38;0.022222222222222223;0.011111111111111112;0.02666666666666667;0.024444444444444446;0.5355555555555556;0.2556053811659193;0.0029895366218236174;0.005979073243647235;0.007473841554559043;0.016442451420029897;0.7115097159940209;0.3056300268096515;0.005270092226613966;0.007774538386783286;0.011675423234092236;0.01966041108132261;0.61111954590615
2250;5.492855072021484;494;2250;0.5408252084208046;0.4104166666666656;0.40278790350493066;0.3765182186234818;0.022267206477732792;0.012145748987854251;0.02631578947368421;0.022267206477732792;0.5404858299595142;0.27802690582959644;0.0029895366218236174;0.007473841554559043;0.01046337817638266;0.016442451420029897;0.6846038863976084;0.3198624247635426;0.005271354977836348;0.009253547193090685;0.014973262032085563;0.018916595012897677;0.6040679221982094
2500;6.0711798667907715;526;2500;0.5641617649475598;0.42291666666666555;0.423175427977305;0.38022813688212925;0.022813688212927757;0.011406844106463879;0.024714828897338403;0.022813688212927757;0.5380228136882129;0.29895366218236175;0.0029895366218236174;0.004484304932735426;0.01046337817638266;0.016442451420029897;0.6666666666666666;0.3347280334728033;0.0052863436123348016;0.006437768240343348;0.01470231844252363;0.01911104676415231;0.5954760652288269
