Min Limit;Time;No. Clusters;No. Base Clusters;Precision;Recall;F-Measure;Precision 0;Precision 1;Precision 2;Precision 3;Precision 4;Precision 5;Recall 0;Recall 1;Recall 2;Recall 3;Recall 4;Recall 5;F-Measure 0;F-Measure 1;F-Measure 2;F-Measure 3;F-Measure 4;F-Measure 5
10;1.7034409046173096;261;500;0.39332646107644587;0.29374999999999934;0.23962049119308873;0.46360153256704983;0.007662835249042145;0.0038314176245210726;0.03065134099616858;0.03065134099616858;0.46360153256704983;0.18086696562032886;0.0029895366218236174;0.0;0.004484304932735426;0.004484304932735426;0.8071748878923767;0.2602150537634409;0.004301075268817204;0.0;0.007823960880195598;0.007823960880195598;0.5889431202087531
11;1.740859031677246;288;500;0.4111070350721426;0.3031249999999993;0.2579317622215873;0.46875;0.006944444444444444;0.010416666666666666;0.03819444444444445;0.03125;0.4444444444444444;0.20179372197309417;0.0029895366218236174;0.0;0.004484304932735426;0.0029895366218236174;0.7877428998505231;0.28213166144200624;0.0041797283176593526;0.0;0.00802626778547975;0.005457025920873125;0.5682706564226985
12;2.160222053527832;300;500;0.4174930562774998;0.3177083333333326;0.26670030149635;0.48333333333333334;0.01;0.01;0.03666666666666667;0.03666666666666667;0.42333333333333334;0.21674140508221226;0.0029895366218236174;0.0;0.004484304932735426;0.0029895366218236174;0.772795216741405;0.2992776057791538;0.004602991944764097;0.0;0.007991282237559027;0.005528332705113708;0.5470147419635678
13;2.0051560401916504;305;500;0.42473905037826504;0.319791666666666;0.2725132114546087;0.4852459016393443;0.009836065573770493;0.013114754098360656;0.036065573770491806;0.036065573770491806;0.419672131147541;0.22122571001494767;0.0029895366218236174;0.0;0.004484304932735426;0.0029895366218236174;0.7683109118086696;0.30390143737166325;0.0045854031333588076;0.0;0.007976794778825236;0.005521395407202912;0.5428338050016088
14;1.8341829776763916;306;500;0.41454072268529274;0.32291666666666596;0.2707820313974992;0.49673202614379086;0.00980392156862745;0.013071895424836602;0.03594771241830065;0.03594771241830065;0.4084967320261438;0.22720478325859492;0.0029895366218236174;0.0;0.004484304932735426;0.0029895366218236174;0.7623318385650224;0.3117948717948718;0.004581901489117984;0.0;0.007973903588256614;0.005520010036381885;0.5319481819888604
15;1.8937430381774902;306;500;0.41454072268529274;0.32291666666666596;0.2707820313974992;0.49673202614379086;0.00980392156862745;0.013071895424836602;0.0392156862745098;0.03594771241830065;0.40522875816993464;0.22720478325859492;0.0029895366218236174;0.0;0.004484304932735426;0.0029895366218236174;0.7623318385650224;0.3117948717948718;0.004581901489117984;0.0;0.008048289738430584;0.005520010036381885;0.5291695953408977
16;1.8456521034240723;309;500;0.4187073893519594;0.32604166666666595;0.27435345996892774;0.4919093851132686;0.009708737864077669;0.012944983818770227;0.038834951456310676;0.03559870550161812;0.4110032362459547;0.22720478325859492;0.0029895366218236174;0.0;0.004484304932735426;0.0029895366218236174;0.7623318385650224;0.310838445807771;0.004571428571428572;0.0;0.008040201005025126;0.005515858092014542;0.5340688426859285
17;1.985651969909668;308;500;0.4187073893519594;0.32708333333333267;0.27494869806416583;0.4967532467532468;0.00974025974025974;0.012987012987012988;0.03896103896103896;0.03571428571428571;0.40584415584415584;0.22869955156950672;0.0029895366218236174;0.0;0.004484304932735426;0.0029895366218236174;0.7608370702541106;0.3132036847492324;0.004574914220358368;0.0;0.00804289544235925;0.005517241379310345;0.5293327287778133
18;1.7585530281066895;308;500;0.4187073893519594;0.32708333333333267;0.27494869806416583;0.4967532467532468;0.00974025974025974;0.012987012987012988;0.03896103896103896;0.03571428571428571;0.40584415584415584;0.22869955156950672;0.0029895366218236174;0.0;0.004484304932735426;0.0029895366218236174;0.7608370702541106;0.3132036847492324;0.004574914220358368;0.0;0.00804289544235925;0.005517241379310345;0.5293327287778133
19;1.8492851257324219;308;500;0.4187073893519594;0.32708333333333267;0.27494869806416583;0.4967532467532468;0.00974025974025974;0.012987012987012988;0.03896103896103896;0.03571428571428571;0.40584415584415584;0.22869955156950672;0.0029895366218236174;0.0;0.004484304932735426;0.0029895366218236174;0.7608370702541106;0.3132036847492324;0.004574914220358368;0.0;0.00804289544235925;0.005517241379310345;0.5293327287778133
20;2.5507709980010986;308;500;0.41766572268529273;0.326041666666666;0.27390703139749917;0.4935064935064935;0.00974025974025974;0.012987012987012988;0.03896103896103896;0.03571428571428571;0.4090909090909091;0.22720478325859492;0.0029895366218236174;0.0;0.004484304932735426;0.0029895366218236174;0.7623318385650224;0.31115660184237465;0.004574914220358368;0.0;0.00804289544235925;0.005517241379310345;0.5324517139377066
21;1.9057891368865967;308;500;0.41766572268529273;0.326041666666666;0.27390703139749917;0.4935064935064935;0.00974025974025974;0.012987012987012988;0.03896103896103896;0.03571428571428571;0.4090909090909091;0.22720478325859492;0.0029895366218236174;0.0;0.004484304932735426;0.0029895366218236174;0.7623318385650224;0.31115660184237465;0.004574914220358368;0.0;0.00804289544235925;0.005517241379310345;0.5324517139377066
22;1.9813408851623535;308;500;0.41766572268529273;0.326041666666666;0.27390703139749917;0.4935064935064935;0.00974025974025974;0.012987012987012988;0.03896103896103896;0.03571428571428571;0.4090909090909091;0.22720478325859492;0.0029895366218236174;0.0;0.004484304932735426;0.0029895366218236174;0.7623318385650224;0.31115660184237465;0.004574914220358368;0.0;0.00804289544235925;0.005517241379310345;0.5324517139377066
23;1.9108281135559082;308;500;0.41766572268529273;0.326041666666666;0.27390703139749917;0.4935064935064935;0.00974025974025974;0.012987012987012988;0.03896103896103896;0.03571428571428571;0.4090909090909091;0.22720478325859492;0.0029895366218236174;0.0;0.004484304932735426;0.0029895366218236174;0.7623318385650224;0.31115660184237465;0.004574914220358368;0.0;0.00804289544235925;0.005517241379310345;0.5324517139377066
24;1.6899170875549316;308;500;0.41766572268529273;0.326041666666666;0.27390703139749917;0.4935064935064935;0.00974025974025974;0.012987012987012988;0.03896103896103896;0.03571428571428571;0.4090909090909091;0.22720478325859492;0.0029895366218236174;0.0;0.004484304932735426;0.0029895366218236174;0.7623318385650224;0.31115660184237465;0.004574914220358368;0.0;0.00804289544235925;0.005517241379310345;0.5324517139377066
25;1.7962779998779297;308;500;0.41766572268529273;0.326041666666666;0.27390703139749917;0.4935064935064935;0.00974025974025974;0.012987012987012988;0.03896103896103896;0.03571428571428571;0.4090909090909091;0.22720478325859492;0.0029895366218236174;0.0;0.004484304932735426;0.0029895366218236174;0.7623318385650224;0.31115660184237465;0.004574914220358368;0.0;0.00804289544235925;0.005517241379310345;0.5324517139377066
26;1.8610072135925293;308;500;0.41766572268529273;0.326041666666666;0.27390703139749917;0.4935064935064935;0.00974025974025974;0.012987012987012988;0.03896103896103896;0.03571428571428571;0.4090909090909091;0.22720478325859492;0.0029895366218236174;0.0;0.004484304932735426;0.0029895366218236174;0.7623318385650224;0.31115660184237465;0.004574914220358368;0.0;0.00804289544235925;0.005517241379310345;0.5324517139377066
27;1.8392539024353027;308;500;0.41766572268529273;0.326041666666666;0.27390703139749917;0.4935064935064935;0.00974025974025974;0.012987012987012988;0.03896103896103896;0.03571428571428571;0.4090909090909091;0.22720478325859492;0.0029895366218236174;0.0;0.004484304932735426;0.0029895366218236174;0.7623318385650224;0.31115660184237465;0.004574914220358368;0.0;0.00804289544235925;0.005517241379310345;0.5324517139377066
28;2.1812398433685303;308;500;0.41766572268529273;0.326041666666666;0.27390703139749917;0.4935064935064935;0.00974025974025974;0.012987012987012988;0.03896103896103896;0.03571428571428571;0.4090909090909091;0.22720478325859492;0.0029895366218236174;0.0;0.004484304932735426;0.0029895366218236174;0.7623318385650224;0.31115660184237465;0.004574914220358368;0.0;0.00804289544235925;0.005517241379310345;0.5324517139377066
29;1.7817378044128418;308;500;0.41766572268529273;0.326041666666666;0.27390703139749917;0.4935064935064935;0.00974025974025974;0.012987012987012988;0.03896103896103896;0.03571428571428571;0.4090909090909091;0.22720478325859492;0.0029895366218236174;0.0;0.004484304932735426;0.0029895366218236174;0.7623318385650224;0.31115660184237465;0.004574914220358368;0.0;0.00804289544235925;0.005517241379310345;0.5324517139377066
