Avg CF limit;Time;No. Clusters;No. Base Clusters;Precision;Recall;F-Measure;Precision 0;Precision 1;Precision 2;Precision 3;Precision 4;Precision 5;Recall 0;Recall 1;Recall 2;Recall 3;Recall 4;Recall 5;F-Measure 0;F-Measure 1;F-Measure 2;F-Measure 3;F-Measure 4;F-Measure 5
15;2.2566211223602295;500;500;0.30999397819851987;0.2749999999999995;0.22954670854339376;0.296;0.042;0.008;0.02;0.016;0.618;0.08819133034379671;0.008968609865470852;0.007473841554559043;0.004484304932735426;0.02092675635276532;0.8699551569506726;0.13589392430278885;0.014780925567481965;0.007727975270479134;0.007326007326007326;0.018134715025906738;0.7226458196459462
16;2.43768310546875;500;500;0.30999397819851987;0.2749999999999995;0.22954670854339376;0.296;0.042;0.008;0.02;0.016;0.618;0.08819133034379671;0.008968609865470852;0.007473841554559043;0.004484304932735426;0.02092675635276532;0.8699551569506726;0.13589392430278885;0.014780925567481965;0.007727975270479134;0.007326007326007326;0.018134715025906738;0.7226458196459462
17;2.3710761070251465;500;500;0.30999397819851987;0.2749999999999995;0.22954670854339376;0.296;0.042;0.008;0.02;0.016;0.618;0.08819133034379671;0.008968609865470852;0.007473841554559043;0.004484304932735426;0.02092675635276532;0.8699551569506726;0.13589392430278885;0.014780925567481965;0.007727975270479134;0.007326007326007326;0.018134715025906738;0.7226458196459462
18;2.3039779663085938;500;500;0.30999397819851987;0.2749999999999995;0.22954670854339376;0.296;0.042;0.008;0.02;0.016;0.618;0.08819133034379671;0.008968609865470852;0.007473841554559043;0.004484304932735426;0.02092675635276532;0.8699551569506726;0.13589392430278885;0.014780925567481965;0.007727975270479134;0.007326007326007326;0.018134715025906738;0.7226458196459462
19;2.3842949867248535;500;500;0.30999397819851987;0.2749999999999995;0.22954670854339376;0.296;0.042;0.008;0.02;0.016;0.618;0.08819133034379671;0.008968609865470852;0.007473841554559043;0.004484304932735426;0.02092675635276532;0.8699551569506726;0.13589392430278885;0.014780925567481965;0.007727975270479134;0.007326007326007326;0.018134715025906738;0.7226458196459462
20;2.093757152557373;500;500;0.30999397819851987;0.2749999999999995;0.22954670854339376;0.296;0.042;0.008;0.02;0.016;0.618;0.08819133034379671;0.008968609865470852;0.007473841554559043;0.004484304932735426;0.02092675635276532;0.8699551569506726;0.13589392430278885;0.014780925567481965;0.007727975270479134;0.007326007326007326;0.018134715025906738;0.7226458196459462
21;2.053705930709839;500;500;0.30999397819851987;0.2749999999999995;0.22954670854339376;0.296;0.042;0.008;0.02;0.016;0.618;0.08819133034379671;0.008968609865470852;0.007473841554559043;0.004484304932735426;0.02092675635276532;0.8699551569506726;0.13589392430278885;0.014780925567481965;0.007727975270479134;0.007326007326007326;0.018134715025906738;0.7226458196459462
22;2.1074130535125732;499;500;0.30999397819851987;0.2749999999999995;0.22954670854339376;0.2965931863727455;0.04208416833667335;0.008016032064128256;0.02004008016032064;0.01603206412825651;0.6172344689378757;0.08819133034379671;0.008968609865470852;0.007473841554559043;0.004484304932735426;0.02092675635276532;0.8699551569506726;0.13595634200836101;0.014786129202605174;0.007735447689035003;0.007328691828508612;0.018155292591992216;0.722122182609221
23;2.3311190605163574;499;500;0.30999397819851987;0.2749999999999995;0.22954670854339376;0.2965931863727455;0.04208416833667335;0.008016032064128256;0.02004008016032064;0.01603206412825651;0.6172344689378757;0.08819133034379671;0.008968609865470852;0.007473841554559043;0.004484304932735426;0.02092675635276532;0.8699551569506726;0.13595634200836101;0.014786129202605174;0.007735447689035003;0.007328691828508612;0.018155292591992216;0.722122182609221
24;2.3582940101623535;498;500;0.30999397819851987;0.2749999999999995;0.22954670854339376;0.2971887550200803;0.04216867469879518;0.008032128514056224;0.020080321285140562;0.01606425702811245;0.6164658634538153;0.08819133034379671;0.008968609865470852;0.007473841554559043;0.004484304932735426;0.02092675635276532;0.8699551569506726;0.1360188170786797;0.014791336502905442;0.007742934572202864;0.007331378299120234;0.018175916910094122;0.7215958999957595
25;2.0464391708374023;498;500;0.30999397819851987;0.2749999999999995;0.22954670854339376;0.2971887550200803;0.04216867469879518;0.008032128514056224;0.020080321285140562;0.01606425702811245;0.6164658634538153;0.08819133034379671;0.008968609865470852;0.007473841554559043;0.004484304932735426;0.02092675635276532;0.8699551569506726;0.1360188170786797;0.014791336502905442;0.007742934572202864;0.007331378299120234;0.018175916910094122;0.7215958999957595
27;2.20766282081604;498;500;0.30999397819851987;0.2749999999999995;0.22954670854339376;0.2971887550200803;0.04216867469879518;0.008032128514056224;0.020080321285140562;0.01606425702811245;0.6164658634538153;0.08819133034379671;0.008968609865470852;0.007473841554559043;0.004484304932735426;0.02092675635276532;0.8699551569506726;0.1360188170786797;0.014791336502905442;0.007742934572202864;0.007331378299120234;0.018175916910094122;0.7215958999957595
29;2.2713940143585205;498;500;0.30999397819851987;0.2749999999999995;0.22954670854339376;0.2971887550200803;0.04216867469879518;0.008032128514056224;0.020080321285140562;0.01606425702811245;0.6164658634538153;0.08819133034379671;0.008968609865470852;0.007473841554559043;0.004484304932735426;0.02092675635276532;0.8699551569506726;0.1360188170786797;0.014791336502905442;0.007742934572202864;0.007331378299120234;0.018175916910094122;0.7215958999957595
31;2.0680007934570312;485;500;0.30999397819851987;0.2749999999999995;0.22954670854339376;0.30515463917525776;0.04329896907216495;0.008247422680412371;0.020618556701030927;0.016494845360824743;0.6061855670103092;0.08819133034379671;0.008968609865470852;0.007473841554559043;0.004484304932735426;0.02092675635276532;0.8699551569506726;0.13683624938296754;0.014859366707942686;0.007841599686336012;0.007366482504604052;0.018448361060780766;0.714504046300704
33;2.1677510738372803;485;500;0.30999397819851987;0.2749999999999995;0.22954670854339376;0.30515463917525776;0.04329896907216495;0.008247422680412371;0.020618556701030927;0.016494845360824743;0.6061855670103092;0.08819133034379671;0.008968609865470852;0.007473841554559043;0.004484304932735426;0.02092675635276532;0.8699551569506726;0.13683624938296754;0.014859366707942686;0.007841599686336012;0.007366482504604052;0.018448361060780766;0.714504046300704
35;2.2666361331939697;485;500;0.30999397819851987;0.2749999999999995;0.22954670854339376;0.30515463917525776;0.04329896907216495;0.008247422680412371;0.020618556701030927;0.016494845360824743;0.6061855670103092;0.08819133034379671;0.008968609865470852;0.007473841554559043;0.004484304932735426;0.02092675635276532;0.8699551569506726;0.13683624938296754;0.014859366707942686;0.007841599686336012;0.007366482504604052;0.018448361060780766;0.714504046300704
37;2.196843147277832;485;500;0.30999397819851987;0.2749999999999995;0.22954670854339376;0.30515463917525776;0.04329896907216495;0.008247422680412371;0.020618556701030927;0.016494845360824743;0.6061855670103092;0.08819133034379671;0.008968609865470852;0.007473841554559043;0.004484304932735426;0.02092675635276532;0.8699551569506726;0.13683624938296754;0.014859366707942686;0.007841599686336012;0.007366482504604052;0.018448361060780766;0.714504046300704
39;2.3585500717163086;485;500;0.30999397819851987;0.2749999999999995;0.22954670854339376;0.30515463917525776;0.04329896907216495;0.008247422680412371;0.020618556701030927;0.016494845360824743;0.6061855670103092;0.08819133034379671;0.008968609865470852;0.007473841554559043;0.004484304932735426;0.02092675635276532;0.8699551569506726;0.13683624938296754;0.014859366707942686;0.007841599686336012;0.007366482504604052;0.018448361060780766;0.714504046300704
41;2.1171631813049316;485;500;0.30999397819851987;0.2749999999999995;0.22954670854339376;0.30515463917525776;0.04329896907216495;0.008247422680412371;0.020618556701030927;0.016494845360824743;0.6061855670103092;0.08819133034379671;0.008968609865470852;0.007473841554559043;0.004484304932735426;0.02092675635276532;0.8699551569506726;0.13683624938296754;0.014859366707942686;0.007841599686336012;0.007366482504604052;0.018448361060780766;0.714504046300704
43;2.186983823776245;485;500;0.30999397819851987;0.2749999999999995;0.22954670854339376;0.30515463917525776;0.04329896907216495;0.008247422680412371;0.020618556701030927;0.016494845360824743;0.6061855670103092;0.08819133034379671;0.008968609865470852;0.007473841554559043;0.004484304932735426;0.02092675635276532;0.8699551569506726;0.13683624938296754;0.014859366707942686;0.007841599686336012;0.007366482504604052;0.018448361060780766;0.714504046300704
45;2.123164176940918;484;500;0.30999397819851987;0.2749999999999995;0.22954670854339376;0.30578512396694213;0.04338842975206612;0.008264462809917356;0.02066115702479339;0.01652892561983471;0.6053719008264463;0.08819133034379671;0.008968609865470852;0.007473841554559043;0.004484304932735426;0.02092675635276532;0.8699551569506726;0.1368995359337765;0.0148646257299593;0.007849293563579277;0.007369196757553427;0.018469656992084433;0.7139385185417779
