Threshold;Time;No. Clusters;No. Base Clusters;Precision;Recall;F-Measure;Ground Truth 0;Ground Truth 1;Ground Truth 2;Ground Truth 3;Ground Truth 4;Ground Truth 5;Ground Truth Rep 0;Ground Truth Rep 1;Ground Truth Rep 2;Ground Truth Rep 3;Ground Truth Rep 4;Ground Truth Rep 5;fMeasure 0;fMeasure 1;fMeasure 2;fMeasure 3;fMeasure 4;fMeasure 5
0.5;19.291672945022583;1184;5000;0.9528831845238217;0.8031250000000094;0.7882392753091658;0.43074324324324326;0.015202702702702704;0.015202702702702704;0.04054054054054054;0.07010135135135136;0.4282094594594595;0.7623318385650224;0.007473841554559043;0.01195814648729447;0.007473841554559043;0.016442451420029897;0.19431988041853512;0.5504587155963303;0.010021155773299187;0.013386631960583808;0.012620950778291964;0.026637102303394555;0.2673275157522871
0.55;20.02790904045105;1184;5000;0.9528831845238217;0.7958333333333426;0.7882392753091658;0.43074324324324326;0.015202702702702704;0.015202702702702704;0.04054054054054054;0.07010135135135136;0.4282094594594595;0.7623318385650224;0.007473841554559043;0.01195814648729447;0.007473841554559043;0.016442451420029897;0.19431988041853512;0.5504587155963303;0.010021155773299187;0.013386631960583808;0.012620950778291964;0.026637102303394555;0.2673275157522871
0.6000000000000001;19.426121950149536;1188;5000;0.9536644345238217;0.790625000000009;0.7892306161442566;0.43013468013468015;0.017676767676767676;0.015151515151515152;0.04377104377104377;0.06818181818181818;0.42508417508417506;0.7638266068759342;0.008968609865470852;0.01195814648729447;0.008968609865470852;0.013452914798206279;0.19282511210762332;0.5503500269251481;0.011899702507437313;0.013366750208855471;0.014886916690523905;0.02247191011235955;0.2653040030788215
0.65;19.59871792793274;1188;5000;0.9536644345238217;0.790625000000009;0.7892306161442566;0.43013468013468015;0.017676767676767676;0.015151515151515152;0.04377104377104377;0.06902356902356903;0.42424242424242425;0.7638266068759342;0.008968609865470852;0.01195814648729447;0.008968609865470852;0.013452914798206279;0.19282511210762332;0.5503500269251481;0.011899702507437313;0.013366750208855471;0.014886916690523905;0.022517162471395884;0.26513983704029953
0.7000000000000001;21.015613794326782;1214;5000;0.9535342261904883;0.7875000000000089;0.7977861115747522;0.42915980230642503;0.018945634266886325;0.016474464579901153;0.044481054365733116;0.06342668863261944;0.42751235584843494;0.7787742899850523;0.007473841554559043;0.008968609865470852;0.01046337817638266;0.005979073243647235;0.18834080717488788;0.5533722782793414;0.010719112643892435;0.011614401858304297;0.01694155611330226;0.010927992336213168;0.26148448043184885
0.75;20.239803075790405;1222;5000;0.9543154761904884;0.7854166666666754;0.7997346896170804;0.427986906710311;0.019639934533551555;0.016366612111292964;0.044189852700491;0.0630114566284779;0.4288052373158756;0.7817638266068759;0.007473841554559043;0.008968609865470852;0.01046337817638266;0.005979073243647235;0.18535127055306427;0.5531464833421471;0.010827393305061805;0.011587485515643106;0.01692032229185318;0.010921792166805555;0.25882521649763784
0.8;19.459301948547363;1224;5000;0.9543154761904884;0.7843750000000087;0.8007019515218423;0.4272875816993464;0.0196078431372549;0.01715686274509804;0.04411764705882353;0.06290849673202614;0.42892156862745096;0.7817638266068759;0.005979073243647235;0.01046337817638266;0.01046337817638266;0.005979073243647235;0.18535127055306427;0.5525620707871104;0.009163802978235968;0.012999071494893223;0.016915022150624244;0.010920243223599071;0.2588464038838889
0.8500000000000001;19.24103021621704;1224;5000;0.9543154761904884;0.7822916666666754;0.8001670408660626;0.42810457516339867;0.02042483660130719;0.01715686274509804;0.04411764705882353;0.06372549019607843;0.4264705882352941;0.7832585949177877;0.005979073243647235;0.01046337817638266;0.01046337817638266;0.005979073243647235;0.18385650224215247;0.5536185948230321;0.009250265945145924;0.012999071494893223;0.016915022150624244;0.010932408283401663;0.2569421934089681
0.9;19.203402042388916;1225;5000;0.95434027777779;0.7822916666666754;0.8005988139540857;0.42775510204081635;0.02122448979591837;0.017142857142857144;0.044081632653061226;0.06448979591836734;0.4253061224489796;0.7832585949177877;0.007473841554559043;0.008968609865470852;0.01046337817638266;0.007473841554559043;0.18236173393124067;0.5533262935586062;0.011054891789616906;0.011776251226692836;0.016912373324981543;0.013395279435702658;0.2552695888947568
0.9500000000000001;21.21695303916931;1225;5000;0.95434027777779;0.7812500000000087;0.8002515917318636;0.42775510204081635;0.02122448979591837;0.017142857142857144;0.044081632653061226;0.06448979591836734;0.4253061224489796;0.7832585949177877;0.007473841554559043;0.008968609865470852;0.01046337817638266;0.007473841554559043;0.18236173393124067;0.5533262935586062;0.011054891789616906;0.011776251226692836;0.016912373324981543;0.013395279435702658;0.2552695888947568
1.0;18.338052988052368;4236;5000;0.9522569444444566;0.7739583333333419;0.7958203748006465;0.5424929178470255;0.008026440037771483;0.004957507082152974;0.013220018885741265;0.018649669499527857;0.4126534466477809;0.7757847533632287;0.005979073243647235;0.008968609865470852;0.01046337817638266;0.007473841554559043;0.19133034379671152;0.638496340587915;0.006853111615016377;0.006385404789053592;0.011681268251981644;0.01067120530588537;0.2614412077447097
