Max Limit;Time;No. Clusters;No. Base Clusters;Precision;Recall;F-Measure;Ground Truth 0;Ground Truth 1;Ground Truth 2;Ground Truth 3;Ground Truth 4;Ground Truth 5;Ground Truth Rep 0;Ground Truth Rep 1;Ground Truth Rep 2;Ground Truth Rep 3;Ground Truth Rep 4;Ground Truth Rep 5;fMeasure 0;fMeasure 1;fMeasure 2;fMeasure 3;fMeasure 4;fMeasure 5
19;24.942074060440063;4628;5000;0.9411458333333451;0.757291666666676;0.7824171209098477;0.5209593777009507;0.00648228176318064;0.0038893690579083835;0.013180639585133967;0.016637856525496975;0.4388504753673293;0.7668161434977578;0.004484304932735426;0.008968609865470852;0.008968609865470852;0.0;0.21076233183856502;0.6204187831677126;0.005301289980561937;0.005425772418990203;0.010674132726715952;0.0;0.2847639347343268
20;24.804578065872192;4628;5000;0.9411458333333451;0.757291666666676;0.7824171209098477;0.5209593777009507;0.00648228176318064;0.0038893690579083835;0.013180639585133967;0.016637856525496975;0.4388504753673293;0.7668161434977578;0.004484304932735426;0.008968609865470852;0.008968609865470852;0.0;0.21076233183856502;0.6204187831677126;0.005301289980561937;0.005425772418990203;0.010674132726715952;0.0;0.2847639347343268
21;24.722772121429443;4628;5000;0.9411458333333451;0.757291666666676;0.7824171209098477;0.5209593777009507;0.00648228176318064;0.0038893690579083835;0.013180639585133967;0.016637856525496975;0.4388504753673293;0.7668161434977578;0.004484304932735426;0.008968609865470852;0.008968609865470852;0.0;0.21076233183856502;0.6204187831677126;0.005301289980561937;0.005425772418990203;0.010674132726715952;0.0;0.2847639347343268
22;24.428136110305786;4628;5000;0.9411458333333451;0.757291666666676;0.7824171209098477;0.5209593777009507;0.00648228176318064;0.0038893690579083835;0.013180639585133967;0.016637856525496975;0.4388504753673293;0.7668161434977578;0.004484304932735426;0.008968609865470852;0.008968609865470852;0.0;0.21076233183856502;0.6204187831677126;0.005301289980561937;0.005425772418990203;0.010674132726715952;0.0;0.2847639347343268
23;25.961331129074097;4628;5000;0.9411458333333451;0.757291666666676;0.7824171209098477;0.5209593777009507;0.00648228176318064;0.0038893690579083835;0.013180639585133967;0.016637856525496975;0.4388504753673293;0.7668161434977578;0.004484304932735426;0.008968609865470852;0.008968609865470852;0.0;0.21076233183856502;0.6204187831677126;0.005301289980561937;0.005425772418990203;0.010674132726715952;0.0;0.2847639347343268
24;25.13332509994507;4628;5000;0.9411458333333451;0.757291666666676;0.7824171209098477;0.5209593777009507;0.00648228176318064;0.0038893690579083835;0.013180639585133967;0.016637856525496975;0.4388504753673293;0.7668161434977578;0.004484304932735426;0.008968609865470852;0.008968609865470852;0.0;0.21076233183856502;0.6204187831677126;0.005301289980561937;0.005425772418990203;0.010674132726715952;0.0;0.2847639347343268
25;28.72434401512146;4628;5000;0.9411458333333451;0.757291666666676;0.7824171209098477;0.5209593777009507;0.00648228176318064;0.0038893690579083835;0.013180639585133967;0.016637856525496975;0.4388504753673293;0.7668161434977578;0.004484304932735426;0.008968609865470852;0.008968609865470852;0.0;0.21076233183856502;0.6204187831677126;0.005301289980561937;0.005425772418990203;0.010674132726715952;0.0;0.2847639347343268
26;24.66126799583435;4628;5000;0.9411458333333451;0.757291666666676;0.7824171209098477;0.5209593777009507;0.00648228176318064;0.0038893690579083835;0.013180639585133967;0.016637856525496975;0.4388504753673293;0.7668161434977578;0.004484304932735426;0.008968609865470852;0.008968609865470852;0.0;0.21076233183856502;0.6204187831677126;0.005301289980561937;0.005425772418990203;0.010674132726715952;0.0;0.2847639347343268
27;25.664011001586914;4628;5000;0.9411458333333451;0.757291666666676;0.7824171209098477;0.5209593777009507;0.00648228176318064;0.0038893690579083835;0.013180639585133967;0.016637856525496975;0.4388504753673293;0.7668161434977578;0.004484304932735426;0.008968609865470852;0.008968609865470852;0.0;0.21076233183856502;0.6204187831677126;0.005301289980561937;0.005425772418990203;0.010674132726715952;0.0;0.2847639347343268
28;30.456336975097656;4628;5000;0.9411458333333451;0.757291666666676;0.7824171209098477;0.5209593777009507;0.00648228176318064;0.0038893690579083835;0.013180639585133967;0.016637856525496975;0.4388504753673293;0.7668161434977578;0.004484304932735426;0.008968609865470852;0.008968609865470852;0.0;0.21076233183856502;0.6204187831677126;0.005301289980561937;0.005425772418990203;0.010674132726715952;0.0;0.2847639347343268
